file,pitname,datetime,x_utm13n,y_utm13n,depth_m,density_kgm3
2017-02-14/PIT_RS02/pit_20170214_RS02.xlsx,RS02,2017-02-14 08:32:00,231874.9,4327175.5,1.50,314.8
2017-02-15/PIT_02W/pit_20170215_02W.xlsx,02W,2017-02-15 09:45:00,221356.0,4325331.7,0.97,299.2
2017-02-15/PIT_03W/pit_20170215_03W.xlsx,03W,2017-02-15 11:35:00,222033.5,4325421.3,0.91,306.0
2017-02-15/PIT_10N/pit_20170215_10N.xlsx,10N,2017-02-15 01:15:00,223444.0,4328122.8,1.05,312.7
2017-02-15/PIT_23N/pit_20170215_23N.xlsx,23N,2017-02-15 03:00:00,226098.5,4325865.4,1.50,331.5
2017-02-15/PIT_34N/pit_20170215_34N.xlsx,34N,2017-02-15 12:50:00,230791.2,4324376.5,1.12,338.3
2017-02-15/PIT_36S/pit_20170215_36S.xlsx,36S,2017-02-15 10:00:00,231695.8,4324081.2,1.47,328.2
2017-02-15/PIT_40W/pit_20170215_40W.xlsx,40W,2017-02-15 09:35:00,233768.5,4321318.3,1.67,308.2
2017-02-15/PIT_42W/pit_20170215_42W.xlsx,42W,2017-02-15 13:43:00,233615.9,4323151.5,1.76,319.4
2017-02-15/PIT_45N/pit_20170215_45N.xlsx,45N,2017-02-15 02:30:00,234440.0,4323367.7,1.50,291.2
2017-02-15/PIT_67N/pit_20170215_67N.xlsx,67N,2017-02-15 09:02:00,237796.5,4324733.5,1.63,315.1
2017-02-15/PIT_JC6/pit_20170215_JC6.xlsx,JC6,2017-02-15 11:06:00,232522.2,4326864.1,0.96,276.6
2017-02-16/PIT_21S/pit_20170216_21S.xlsx,21S,2017-02-16 14:55:00,225278.0,4322094.5,1.15,308.5
2017-02-16/PIT_28N/pit_20170216_28N.xlsx,28N,2017-02-16 12:20:00,228294.2,4323083.1,1.35,325.5
2017-02-16/PIT_32S/pit_20170216_32S.xlsx,32S,2017-02-16 13:35:00,229869.6,4322062.9,1.27,336.9
2017-02-16/PIT_33E/pit_20170216_33E.xlsx,33E,2017-02-16 09:45:00,230373.1,4321596.7,1.42,312.7
2017-02-16/PIT_38W/pit_20170216_38W.xlsx,38W,2017-02-16 09:35:00,232201.3,4323692.0,1.53,334.4
2017-02-16/PIT_54N/pit_20170216_54N.xlsx,54N,2017-02-16 12:22:00,235321.1,4326599.9,1.58,302.6
2017-02-16/PIT_56W/pit_20170216_56W.xlsx,56W,2017-02-16 09:00:00,235150.1,4326181.2,2.15,346.3
2017-02-16/PIT_91W/pit_20170216_91W.xlsx,91W,2017-02-16 03:53:00,249758.0,4330843.0,1.34,320.7
2017-02-16/PIT_96W/pit_20170216_96W.xlsx,96W,2017-02-16 10:10:00,251036.0,4332499.0,1.23,342.9
2017-02-16/PIT_99S/pit_20170216_99S.xlsx,99S,2017-02-16 12:57:00,2581834.0,4331145.0,1.69,340.0
2017-02-17/PIT_01W/pit_20170217_01W.xlsx,01W,2017-02-17 09:50:00,221314.0,4325197.2,0.90,306.7
2017-02-17/PIT_51N/pit_20170217_51N.xlsx,51N,2017-02-17 08:50:00,235023.4,4324825.5,1.88,349.0
2017-02-17/PIT_58N/pit_20170217_58N.xlsx,58N,2017-02-17 13:24:00,235578.0,4325847.2,1.47,321.8
2017-02-17/PIT_60E/pit_20170217_60E.xlsx,60E,2017-02-17 04:50:00,235960.7,4324736.5,1.78,345.6
2017-02-17/PIT_68E/pit_20170217_68E.xlsx,68E,2017-02-17 02:30:00,245184.0,4325184.0,1.57,320.1
2017-02-17/PIT_69S/pit_20170217_69S.xlsx,69S,2017-02-17 09:00:00,245260.0,4325196.0,1.60,334.1
2017-02-17/PIT_72N/pit_20170217_72N.xlsx,72N,2017-02-17 15:49:00,245676.0,4324287.0,1.61,330.9
2017-02-17/PIT_73N/pit_20170217_73N.xlsx,73N,2017-02-17 12:00:00,246022.0,4324120.0,1.69,337.8
2017-02-17/PIT_79W/pit_20170217_79W.xlsx,79W,2017-02-17 12:32:00,249578.0,4324822.0,1.97,327.2
2017-02-17/PIT_84N/pit_20170217_84N.xlsx,84N,2017-02-17 14:30:00,248797.0,4330499.0,1.40,343.0
2017-02-17/PIT_94E/pit_20170217_94E.xlsx,94E,2017-02-17 09:40:00,250659.0,4332322.0,1.41,313.0
2017-02-17/PIT_95S/pit_20170217_95S.xlsx,95S,2017-02-17 09:30:00,251073.0,4332088.0,1.51,355.0
2017-02-17/PIT_97S/pit_20170217_97S.xlsx,97S,2017-02-17 12:30:00,251695.0,4330967.0,1.29,349.2
2017-02-18/PIT_MTR2_0830/pit_20170218_MTR2_0830.xlsx,MTR2_0830,2017-02-18 08:30:00,232535.9,4327374.3,1.21,313.6
2017-02-18/PIT_MTR2_1900/pit_20170218_MTR2_1900.xlsx,MTR2_1900,2017-02-18 08:45:00,232537.4,4327381.2,1.18,321.2
2017-02-18/PIT_MTR3_0200/pit_20170218_MTR3_0200.xlsx,MTR3_0200,2017-02-18 12:05:00,236358.3,4324307.3,1.34,323.4
2017-02-18/PIT_MTR3_0300/pit_20170218_MTR3_0300.xlsx,MTR3_0300,2017-02-18 00:00:00,236358.3,4324307.3,1.34,308.8
2017-02-18/PIT_MTR3_1150/pit_20170218_MTR3_1150.xlsx,MTR3_1150,2017-02-18 12:15:00,236363.5,4324311.0,1.28,305.2
2017-02-20/PIT_KCC/pit_20170220_KCC.xlsx,KCC,2017-02-20 10:30:00,224327.6,4323109.6,1.15,319.6
2017-02-20/PIT_KCE/pit_20170220_KCE.xlsx,KCE,2017-02-20 12:30:00,224343.1,4323100.5,1.19,321.7
2017-02-20/PIT_KCN/pit_20170220_KCN.xlsx,KCN,2017-02-20 01:00:00,224370.0,4323037.6,1.18,329.0
2017-02-20/PIT_KCW/pit_20170220_KCW.xlsx,KCW,2017-02-20 01:46:00,224306.5,4323107.9,1.30,331.5
2017-02-20/PIT_L33/pit_20170220_L33.xlsx,L33,2017-02-20 11:45:00,261078.0,4198568.0,1.97,319.3
2017-02-20/PIT_L36/pit_20170220_L36.xlsx,L36,2017-02-20 15:00:00,261861.0,4199329.0,1.13,320.9
2017-02-20/PIT_L37/pit_20170220_L37.xlsx,L37,2017-02-20 01:00:00,261297.0,4019886.0,2.17,314.9
2017-02-20/PIT_L38/pit_20170220_L38.xlsx,L38,2017-02-20 10:00:00,261578.0,4198749.0,1.88,327.5
2017-02-20/PIT_L39/pit_20170220_L39.xlsx,L39,2017-02-20 10:30:00,261787.0,4199088.0,1.95,298.4
2017-02-20/PIT_L40/pit_20170220_L40.xlsx,L40,2017-02-20 13:20:00,261642.0,4198976.0,1.80,313.4
2017-02-21/PIT_02E/pit_20170221_02E.xlsx,02E,2017-02-21 10:47:00,221823.6,4325323.9,1.18,301.9
2017-02-21/PIT_03E/pit_20170221_03E.xlsx,03E,2017-02-21 01:50:00,222312.8,4325400.8,1.10,338.6
2017-02-21/PIT_100S/pit_20170221_100S.xlsx,100S,2017-02-21 09:57:00,252096.0,4329906.0,1.92,322.5
2017-02-21/PIT_102E/pit_20170221_102E.xlsx,102E,2017-02-21 11:20:00,252527.0,4329971.0,1.90,318.0
2017-02-21/PIT_104W/pit_20170221_104W.xlsx,104W,2017-02-21 13:00:00,252161.0,4330421.0,1.26,331.3
2017-02-21/PIT_13E/pit_20170221_13E.xlsx,13E,2017-02-21 10:00:00,224355.0,4325486.0,0.97,314.4
2017-02-21/PIT_23S/pit_20170221_23S.xlsx,23S,2017-02-21 11:35:00,226101.0,4325610.0,1.34,309.3
2017-02-21/PIT_25W/pit_20170221_25W.xlsx,25W,2017-02-21 13:41:00,226611.0,4325562.0,1.50,318.5
2017-02-21/PIT_42E/pit_20170221_42E.xlsx,42E,2017-02-21 13:55:00,233926.5,4323165.1,1.14,299.0
2017-02-21/PIT_45S/pit_20170221_45S.xlsx,45S,2017-02-21 15:15:00,234494.8,4323195.7,1.85,341.4
2017-02-21/PIT_50E/pit_20170221_50E.xlsx,50E,2017-02-21 10:45:00,235312.8,4326868.0,1.54,322.6
2017-02-21/PIT_50W/pit_20170221_50W.xlsx,50W,2017-02-21 08:59:00,234998.0,4326869.0,1.59,320.1
2017-02-21/PIT_54S/pit_20170221_54S.xlsx,54S,2017-02-21 13:14:00,235321.0,4326348.0,1.55,312.9
2017-02-21/PIT_56E/pit_20170221_56E.xlsx,56E,2017-02-21 14:32:00,235417.0,4326181.0,1.53,312.2
2017-02-21/PIT_57S/pit_20170221_57S.xlsx,57S,2017-02-21 11:52:00,235509.5,4322245.7,1.47,306.0
2017-02-21/PIT_62N/pit_20170221_62N.xlsx,62N,2017-02-21 10:24:00,236213.5,4323374.8,1.73,319.2
2017-02-21/PIT_71E/pit_20170221_71E.xlsx,71E,2017-02-21 14:35:00,245794.0,4325599.0,1.72,348.7
2017-02-21/PIT_73S/pit_20170221_73S.xlsx,73S,2017-02-21 09:57:00,246015.0,4323871.0,1.97,346.6
2017-02-21/PIT_74E/pit_20170221_74E.xlsx,74E,2017-02-21 12:00:00,246535.0,4324409.0,1.74,349.8
2017-02-21/PIT_99N/pit_20170221_99N.xlsx,99N,2017-02-21 14:00:00,251838.0,4331415.0,1.56,359.1
2017-02-21/PIT_M22/pit_20170221_M22.xlsx,M22,2017-02-21 03:00:00,259935.0,4199046.0,2.57,351.7
2017-02-21/PIT_T03/pit_20170221_T03.xlsx,T03,2017-02-21 14:15:00,259807.0,4200376.0,0.95,316.8
2017-02-21/PIT_T06/pit_20170221_T06.xlsx,T06,2017-02-21 12:20:00,259728.0,4200056.0,1.12,317.0
2017-02-21/PIT_U13/pit_20170221_U13.xlsx,U13,2017-02-21 12:24:00,259960.0,4199683.0,1.82,360.5
2017-02-22/PIT_26W/pit_20170222_26W.xlsx,26W,2017-02-22 09:45:00,227071.2,4323338.3,1.14,312.7
2017-02-22/PIT_27E/pit_20170222_27E.xlsx,27E,2017-02-22 09:15:00,228381.7,4322404.8,1.40,309.9
2017-02-22/PIT_29E/pit_20170222_29E.xlsx,29E,2017-02-22 11:00:00,228415.6,4322175.0,1.32,328.3
2017-02-22/PIT_32S/pit_20170222_32S.xlsx,32S,2017-02-22 12:45:00,229856.6,4322062.8,1.31,336.1
2017-02-22/PIT_36N/pit_20170222_36N.xlsx,36N,2017-02-22 14:00:00,231688.3,4324346.3,1.47,339.1
2017-02-22/PIT_38E/pit_20170222_38E.xlsx,38E,2017-02-22 15:00:00,232454.7,4323688.3,1.65,345.5
2017-02-22/PIT_46S/pit_20170222_46S.xlsx,46S,2017-02-22 08:20:00,234763.4,4325910.1,1.21,323.1
2017-02-22/PIT_47W/pit_20170222_47W.xlsx,47W,2017-02-22 09:35:00,234869.7,4326168.7,1.60,328.8
2017-02-22/PIT_49N/pit_20170222_49N.xlsx,49N,2017-02-22 10:50:00,234955.8,4326334.4,1.54,311.5
2017-02-22/PIT_52N/pit_20170222_52N.xlsx,52N,2017-02-22 12:30:00,235029.8,4326452.7,1.19,321.6
2017-02-22/PIT_53W/pit_20170222_53W.xlsx,53W,2017-02-22 14:25:00,235145.4,4324547.8,2.10,362.9
2017-02-22/PIT_55E/pit_20170222_55E.xlsx,55E,2017-02-22 15:00:00,235649.9,4325038.7,1.78,334.2
2017-02-22/PIT_56W/pit_20170222_56W.xlsx,56W,2017-02-22 13:30:00,235159.2,4326181.6,2.08,355.5
2017-02-22/PIT_58S/pit_20170222_58S.xlsx,58S,2017-02-22 15:25:00,235559.3,4325562.8,2.01,342.2
2017-02-22/PIT_63E/pit_20170222_63E.xlsx,63E,2017-02-22 12:40:00,236409.5,4323050.2,1.68,335.6
2017-02-22/PIT_63W/pit_20170222_63W.xlsx,63W,2017-02-22 11:23:00,236008.7,4323051.6,1.49,322.5
2017-02-22/PIT_66N/pit_20170222_66N.xlsx,66N,2017-02-22 08:35:00,236971.3,4323831.9,1.82,324.1
2017-02-22/PIT_66S/pit_20170222_66S.xlsx,66S,2017-02-22 10:01:00,236963.0,4323569.8,1.90,330.4
2017-02-22/PIT_67N/pit_20170222_67N.xlsx,67N,2017-02-22 12:20:00,237795.3,4324744.6,1.66,330.3
2017-02-22/PIT_92E/pit_20170222_92E.xlsx,92E,2017-02-22 10:00:00,250331.0,4326404.0,1.90,343.8
2017-02-22/PIT_92W/pit_20170222_92W.xlsx,92W,2017-02-22 01:25:00,250111.0,4326407.0,1.74,344.0
2017-02-22/PIT_JC_TRUCK/pit_20170222_JC_TRUCK.xlsx,JC_TRUCK,2017-02-22 08:35:00,232115.5,4327353.0,1.43,314.5
2017-02-22/PIT_L34/pit_20170222_L34.xlsx,L34,2017-02-22 10:00:00,261206.0,4199032.0,1.83,339.8
2017-02-22/PIT_L35/pit_20170222_L35.xlsx,L35,2017-02-22 10:30:00,261650.0,4199325.0,1.54,214.7
2017-02-23/PIT_103S/pit_20170223_103S.xlsx,103S,2017-02-23 13:13:00,252282.0,4329802.0,1.90,302.6
2017-02-23/PIT_41E/pit_20170223_41E.xlsx,41E,2017-02-23 14:30:00,234173.8,4325345.7,1.05,313.7
2017-02-23/PIT_44E/pit_20170223_44E.xlsx,44E,2017-02-23 11:00:00,234464.4,4324464.6,2.13,356.1
2017-02-23/PIT_45N/pit_20170223_45N.xlsx,45N,2017-02-23 09:00:00,234493.5,4323328.1,1.51,320.7
2017-02-23/PIT_45S/pit_20170223_45S.xlsx,45S,2017-02-23 10:50:00,234492.9,4323197.8,1.62,333.0
2017-02-23/PIT_51S/pit_20170223_51S.xlsx,51S,2017-02-23 08:55:00,235043.5,4324598.7,1.59,358.3
2017-02-23/PIT_69N/pit_20170223_69N.xlsx,69N,2017-02-23 13:13:00,245275.0,4325445.0,1.79,321.1
2017-02-23/PIT_70W/pit_20170223_70W.xlsx,70W,2017-02-23 09:07:00,245195.0,4323452.0,1.48,323.5
2017-02-23/PIT_71W/pit_20170223_71W.xlsx,71W,2017-02-23 14:35:00,245540.0,4325604.0,1.99,336.3
2017-02-23/PIT_72S/pit_20170223_72S.xlsx,72S,2017-02-23 11:00:00,245685.0,4324027.0,1.76,316.5
2017-02-23/PIT_77W/pit_20170223_77W.xlsx,77W,2017-02-23 14:37:00,246956.0,4326892.0,1.94,319.3
2017-02-23/PIT_84S/pit_20170223_84S.xlsx,84S,2017-02-23 09:35:00,248798.0,9830624.0,1.33,281.4
